ћарка;—сылка;÷ена в $;÷ена в UAH;√ород
Volkswagen Touareg 2022Elegance 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884637.html;75 000 $;2 871 000 грн;ѕолтава 
Volkswagen Touareg 2022Ambience 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884607.html;82 814 $;3 170 120 грн;«апор≥жж€ 
Volkswagen Touareg 2020Touareg 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884199.html;54 075 $; 60 000 $;«апор≥жж€ 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1884119.html;21 769 $;833 332 грн;«апор≥жж€ 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883960.html;22 155 $;848 100 грн;’мельницький 
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1883551.html;21 421 $; 22 380 $;ќдеса 
Volkswagen Arteon Shooting Brake 2021R-Line 2.0 TSI DSG (280 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-arteon-shooting-brake-1883154.html;45 480 $;1 740 970 грн;ƒн≥про (ƒн≥пропетровськ) 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882925.html;22 076 $;845 088 грн;Ћьв≥в 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882922.html;22 624 $;866 036 грн;Ћьв≥в 
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1883188.html;19 984 $;765 000 грн;∆итомир 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883058.html;22 622 $; 26 300 $;≤вано-‘ранк≥вськ 
Volkswagen Golf GTI 20212.0 TSI DSG (245 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-gti-1880020.html;30 607 $;1 171 651 грн; ињв 
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883057.html;24 895 $;952 990 грн;≤вано-‘ранк≥вськ 
Volkswagen Golf GTI 20212.0 TSI DSG (245 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-gti-1880014.html;32 308 $;1 236 742 грн; ињв 
Volkswagen T-Cross 2022Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882826.html;19 692 $;753 800 грн;„ерн≥вц≥ 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882682.html;29 600 $;888 000 грн;Ћуцьк 
Volkswagen Passat 2021Elegance 2.0 TDI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-passat-1882684.html;47 700 $;1 431 000 грн;Ћуцьк 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1879253.html;22 989 $;880 000 грн;∆итомир 
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1881749.html;19 227 $;736 000 грн;∆итомир 
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1872122.html;23 877 $;914 000 грн;„ерн≥вц≥ 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1866623.html;29 850 $;804 129 грн; ињв 
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1880442.html;25 535 $;687 887 грн; ињв 
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1880444.html;29 410 $;792 276 грн; ињв 
Volkswagen Tiguan 2022Elegance 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884633.html;44 735 $;1 712 456 грн;«апор≥жж€ 
Volkswagen Tiguan 2022R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884631.html;37 670 $;1 442 000 грн;„ерн≥вц≥ 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884632.html;46 960 $;1 797 629 грн;«апор≥жж€ 
Volkswagen Multivan 2022Bulli 2.0 TDI DSG (199 к.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-multivan-1884623.html;67 883 $;2 598 580 грн;’мельницький 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884606.html;32 256 $;1 234 772 грн;’мельницький 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884608.html;32 502 $;1 244 195 грн;’мельницький 
Volkswagen Tiguan 2022Elegance 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884615.html;43 336 $;1 658 902 грн;«апор≥жж€ 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884589.html;32 142 $;1 230 380 грн;’мельницький 
Volkswagen Tiguan 2021R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884591.html;38 448 $;1 471 778 грн;’мельницький 
Volkswagen Golf 2022Life 1.6 MPI AT (110 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1884586.html;20 256 $;775 390 грн;’мельницький 
Volkswagen T6 (Transporter) пасс. 2021City 2.0 TDI MT (150 к.с.) L2H1;https://auto.ria.com/newauto/auto-volkswagen-t6-transporter-pass-1884555.html;47 500 $;1 818 300 грн;≤вано-‘ранк≥вськ 
Volkswagen T6 (Transporter) пасс. 2021City 2.0 TDI MT (150 к.с.) L2H1;https://auto.ria.com/newauto/auto-volkswagen-t6-transporter-pass-1884551.html;47 500 $;1 818 300 грн;≤вано-‘ранк≥вськ 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1884554.html;30 102 $;1 152 305 грн;≤вано-‘ранк≥вськ 
Volkswagen Multivan 2022Bulli 2.0 TDI DSG (199 к.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-multivan-1884546.html;67 268 $;2 575 000 грн;’мельницький 
Volkswagen Tiguan 2022R-Line 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884566.html;54 130 $;2 072 096 грн;≤вано-‘ранк≥вськ 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884557.html;42 709 $;1 634 900 грн;≤вано-‘ранк≥вськ 
Volkswagen T6 (Transporter) пасс. 2022City 2.0 TDI MT (150 к.с.) L1H1;https://auto.ria.com/newauto/auto-volkswagen-t6-transporter-pass-1884556.html;46 000 $;1 760 880 грн;≤вано-‘ранк≥вськ 
Volkswagen T6 (Transporter) пасс. 2022City 2.0 TDI MT (150 к.с.) L1H1;https://auto.ria.com/newauto/auto-volkswagen-t6-transporter-pass-1884549.html;46 000 $;1 760 880 грн;≤вано-‘ранк≥вськ 
Volkswagen Touareg 2022Elegance 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884563.html;75 716 $;2 898 408 грн;≤вано-‘ранк≥вськ 
